,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
RFC2,1773,1703,1108,640,728,1415
ARID1B,1956,2315,2568,2373,2561,1598
CLPTM1L,15368,15098,9014,5643,6514,10186
NEDD4L,10591,10639,9178,6318,7701,3631
FOXP3,8,9,4,6,4,0
PPP1R3F,169,137,315,277,266,113
HEXB,7398,8018,7622,5235,7235,11144
PTCD2,407,420,376,439,394,532
NEXMIF,11,8,0,5,9,0
JKAMP,4002,3641,2702,2132,2493,3396
DKK3,1639,1631,3576,2803,2592,13407
ARHGEF5,1924,2009,2532,1465,1474,2004
NFE2L3,532,500,1468,980,798,1331
MCUR1,1760,1809,1481,1655,1641,1375
LIMA1,8552,8813,7682,4774,5661,9100
LETMD1,508,657,912,1165,1553,743
SLC4A8,17,30,52,23,44,80
LAMC3,20,47,56,167,325,58
PTGER3,1,0,3,39,0,0
TNIP3,36,34,90,76,55,96
MAPK9,2896,2760,1969,1593,1891,2139
COL23A1,9,0,19,93,90,15
BCAR1,4635,4443,7374,4350,5422,7211
FAM160A2,1207,1497,2075,1525,2074,1170
HERPUD1,6615,6617,7515,4546,5830,3785
HOMER3,2529,2473,1909,644,695,3417
RAD51,490,511,254,64,53,399
POLQ,165,304,165,65,65,333
PIK3CB,1277,1151,1313,1377,1457,1576
CYBA,3115,3409,4164,2121,2521,6164
THOC3,1645,1661,2046,1318,1645,3214
HEBP2,4903,5396,9723,4663,3571,5449
MPHOSPH9,549,610,247,549,694,551
PLEKHA5,1070,1260,1881,2245,2095,1330
PRSS8,11441,11147,22909,9684,11975,6193
SIKE1,1811,2046,1750,1693,2236,1681
RRP12,1926,2158,2050,1373,1941,3219
FNIP2,4132,3921,2353,4107,5299,2458
MSMO1,28517,28095,13568,11976,12508,23924
TTC17,3039,3330,3423,3870,5280,3246
ALX4,0,0,0,0,0,0
FSTL4,37,27,21,49,67,16
FOXN3,778,771,1712,1441,1780,1164
METTL24,0,0,0,0,0,0
AKR7A2,2316,2264,2051,2351,2795,2491
MRTO4,2287,2451,1496,834,1107,2892
NNAT,12,9,100,130,169,30
USE1,743,749,544,524,500,476
MCF2L2,54,52,112,36,50,47
NRIP2,8,7,50,71,87,13
LAMA3,15226,15871,7674,2756,4676,20506
AP5M1,2991,2658,2018,1706,1871,2498
ANAPC4,1683,1768,1405,1115,1350,1580
KCNQ1,983,1111,1281,2513,3002,379
TRAPPC3,4776,4787,3820,2578,2533,3727
THRAP3,4486,4847,4624,3832,4239,5309
PHPT1,3569,3573,2849,3993,4384,3872
ENTPD2,23,13,44,24,52,25
LY75,431,401,475,906,997,206
ARID4B,1552,1902,3465,2359,2470,1557
OPN3,1156,1202,1324,796,917,1563
SDCCAG8,2058,2043,1498,2583,2513,1717
PTPRN,35,37,64,247,272,101
HHAT,394,492,306,278,410,328
KIF1B,1757,1564,1727,1283,1092,1776
FOXC1,185,193,874,187,219,254
TBC1D22A,1539,1388,1653,1290,1674,1583
SYNE2,775,1130,3078,2628,2940,832
PLEKHH1,41,73,534,314,296,216
ATP9A,2761,2430,3223,1900,2144,1916
SPO11,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0
CHRDL2,4,2,5,19,9,1
FAM168A,256,332,268,272,371,390
RELT,251,263,385,71,127,280
GALC,3906,3681,1973,2097,2902,2275
NOP58,4050,4176,3157,2098,2419,4766
SZRD1,3208,3349,2346,1479,1564,2889
KCNH2,11,3,1,23,10,0
CUL1,5297,5519,4915,3152,4057,5042
FAM114A2,1286,1208,1114,848,982,1421
CYFIP2,3985,4645,1426,3304,3475,1170
TAB2,956,1047,953,853,793,940
GINM1,2549,2582,2802,2486,2667,2387
EIF2AK2,5352,5448,5772,1504,1633,1872
AC022966.1,1534,1721,1634,1789,2372,1714
KMT2C,736,884,1997,2298,2302,622
MCOLN3,59,58,85,12,39,46
CCDC85A,256,218,68,133,133,86
PUM2,1726,1933,2501,2616,3440,1486
MRPL43,2438,2633,1931,1657,1702,2105
ITIH4,11,20,39,60,59,2
ITIH1,0,2,1,0,1,0
HPF1,983,1108,515,455,553,645
ZFR,5033,5170,3918,2978,3768,4872
ZNF280C,269,321,174,271,360,206
NPFFR2,18,4,6,9,0,69
PHF21B,0,0,0,1,0,0
TRAF1,259,288,186,178,279,178
RC3H2,2293,2609,2295,1743,2148,2238
IL17RB,95,134,86,108,223,34
TRAF3IP2,2064,1875,1913,1404,1565,2402
GYG2,144,117,126,174,159,303
DCBLD2,23563,22135,11900,5043,5447,19392
SERPINB3,16519,17149,57863,126826,92591,60178
SOAT1,5576,5521,3057,2241,2787,3101
PKP2,2480,2316,2211,1117,1768,5331
MSH4,0,0,0,0,0,0
F7,0,0,0,0,10,0
GDI2,12843,13866,9839,6027,6369,13177
PRDM1,349,267,3347,1274,458,1647
ATG5,3187,3429,2595,1694,2166,2489
TMCC3,753,726,2114,369,288,1077
PITHD1,1638,1675,1256,1127,1227,1521
MTA3,1285,1349,1354,1281,1145,1405
USP13,488,593,330,474,570,416
ATP11B,3229,3047,3301,2524,2705,3751
LAMC2,88989,77501,38620,5462,8604,48861
CDK14,1107,865,753,602,875,756
SEC61A1,32456,31307,23530,16198,20984,27298
PPP1R12A,3202,3082,3712,2343,2681,3353
RASGRF1,186,198,127,302,327,53
CAMK2B,7,8,20,18,7,19
CROCC,663,692,745,788,903,561
POLR3E,2098,1951,1817,1292,1491,2012
ATP2B4,6374,6742,4487,5892,6435,9293
ZC3H11A,4504,4505,6391,5665,7251,3823
RIOK2,1630,1693,1221,1309,1428,1602
YIPF1,1774,1754,1617,1025,998,1483
NDC1,1951,1836,1118,653,986,1912
DGKG,184,175,82,2,55,52
FLYWCH1,1844,1871,2330,1705,1908,3064
UNKL,546,499,809,400,432,250
TBXAS1,211,239,686,113,151,1042
PARP12,4106,4113,4801,885,931,1696
ALDH18A1,5698,5671,3748,4406,5816,6434
TARBP1,1040,1015,827,1250,1232,1093
GATB,1417,1289,843,813,614,1291
MXD1,1873,1964,14820,3531,1519,1854
CDK17,1765,1778,1789,1363,1620,1287
DNAJC25,621,646,551,505,662,482
SLC2A3,425,487,1127,9168,15620,1043
PSD,38,35,81,153,190,46
CTDP1,2066,2059,2374,1162,1232,1778
YBX3,10482,11665,21487,19560,23949,19022
STYK1,422,398,631,397,404,364
WNK1,1952,2059,1592,1920,1962,1684
RPS17P5,0,1,0,0,0,0
CCAR1,3831,4267,3682,2480,2187,4246
OGFR,3059,3125,3415,1444,1561,1829
GNA15,3373,3325,5782,2559,2373,4712
CREB3L3,0,0,0,0,0,0
PIGV,1575,1486,1124,1383,1289,1178
PTPRU,3533,3615,6915,4142,6203,3640
SNRNP40,2881,2982,1795,1231,1586,2435
RIMBP2,0,0,0,0,16,5
COL11A1,7,3,8,196,297,41
QSER1,462,532,534,394,598,537
MPC1,2097,2337,1106,912,1043,1262
ACAA1,7660,7946,4673,4140,3937,6644
BCAT1,2459,2714,2708,1413,1338,2776
HDAC7,3184,3182,4325,1913,2025,2117
LZTS1,52,22,48,28,54,233
PRDM6,4,2,0,55,59,6
WNT8A,0,0,0,0,0,0
SPAG4,115,132,840,1705,2105,150
NCKAP1,13220,13441,11689,7541,7373,11652
MRPS35,4310,4343,2821,1759,1918,4023
GUCY1B1,447,540,451,781,848,613
SFSWAP,826,928,1472,1226,1412,848
TNK2,368,420,424,255,261,251
MON2,1929,2026,2267,1998,2266,1965
CDH3,17307,16694,10568,7762,11307,21128
ARSF,0,0,1,17,1,0
GPBP1,3727,4123,6081,4079,4645,3034
DGAT2,664,676,1048,3110,1177,1029
ZNF112,210,381,328,397,457,176
CS,13227,12957,7623,6277,6445,10930
LTK,31,36,668,113,111,572
MRPS24,1964,2119,1511,1264,1173,1864
ELMO2,3415,3411,2810,2489,2733,3226
WAPL,3627,3530,3291,2245,2707,3182
VMP1,7843,8677,26304,8337,9009,8688
APPBP2,2236,2590,1981,1889,1940,1711
POLD1,2208,2261,1745,1516,1951,1842
SEZ6,14,10,34,33,36,7
EIF4B,4741,4596,5542,4854,6377,6220
SLC6A16,5,0,3,13,42,5
BICRA,58,78,100,97,80,44
SPHK2,782,748,460,421,482,482
RPL18,8786,9102,7884,8159,8837,8899
CA11,57,64,54,157,142,11
ISOC2,1402,1410,1113,1071,1106,1595
U2AF2,572,549,612,371,449,572
EPN1,2412,2577,2320,1453,1598,2444
MED29,3002,2906,2185,2368,2563,2518
AHRR,0,9,19,5,13,20
GSC2,0,0,0,0,0,0
ZNF275,314,340,174,268,478,341
MTMR1,2507,2376,2162,2036,1853,2202
GPC1,8510,8308,9650,5318,5559,15612
ADCK1,497,591,312,300,192,393
HAGH,2278,2288,2045,1854,1909,1582
RNF4,4554,4194,4435,2868,3047,4244
CASP8,1511,1602,1628,1503,1451,1400
LIMCH1,10105,10612,6787,7953,9945,6040
INTS13,1882,1865,1182,947,1100,2276
TM7SF3,10126,10189,6669,5616,6204,9638
DLX3,46,34,74,213,39,69
SPA17,611,619,285,348,367,411
TSPAN32,0,0,0,4,9,2
CCN5,0,0,11,46,55,15
DMRT3,5,8,1,6,4,0
ST3GAL6,310,349,541,503,393,289
ATP2C2,2216,2195,5128,4843,6293,1638
NGFR,88,121,222,507,823,1159
CDON,39,36,42,69,62,3
TAF2,2212,2288,1667,1341,1137,2301
HIPK2,1228,1144,1637,1289,1342,1607
TNPO3,3685,3557,3642,2181,2326,4032
BORCS8-MEF2B,49,8,65,49,96,34
RFXANK,1675,1804,1670,1208,1055,1341
TMEM161A,1154,1358,1088,1161,1278,1406
LPAR2,1376,1350,1242,570,642,987
CTSA,15395,15853,14180,10156,12255,14123
SUGP2,2745,2713,3901,3313,3815,2999
SLC12A2,1247,1326,1455,936,1188,1471
SNX24,970,954,546,651,571,576
EYA2,210,228,667,394,374,245
CNN2,18714,18703,13250,6849,8619,15414
ABCA7,2444,3010,4310,3190,3604,1862
SNCAIP,166,149,42,240,303,205
DDX20,1346,1272,1073,718,715,1040
BTBD1,4941,4885,4267,3364,4359,6019
FAR2,76,47,92,68,39,434
BCAS1,1534,1798,4648,2186,1073,1894
POU1F1,1,0,0,0,0,0
CHI3L2,474,587,139,3446,5605,778
SBNO2,2101,2124,4068,2810,3560,3278
PMS1,1066,1121,761,896,992,967
HMG20B,3720,4115,3602,2882,3239,3324
CALCRL,80,89,215,330,194,148
TAF11,942,1079,942,663,641,867
ANKS1A,1796,1646,1391,1370,1285,1528
AP3D1,8174,8373,7305,5359,6555,7228
ZNF76,1470,1583,1407,1775,2161,1444
SLC9A3R2,4270,4198,3799,1515,1670,1416
NTHL1,965,989,709,459,531,575
UHRF1BP1,709,832,720,561,641,328
GNAI3,9143,9129,8002,5431,5288,8893
IPO5,4796,4508,3311,2302,2756,4859
OAT,7562,7326,4301,4033,4527,7916
WDR3,3063,2907,1731,1651,1996,3420
PKN2,2202,2503,4000,1962,2362,1725
WDR18,2368,2517,2036,1124,1344,2351
TRAM2,931,935,1215,738,1004,2248
NTN1,130,128,384,139,210,45
GLP2R,0,0,4,0,1,19
MCM10,664,765,396,46,32,558
DGKA,2449,2716,8652,5134,4178,5645
ERBB3,6058,6169,12465,8605,8808,2087
ROPN1,0,0,0,2,0,0
ANKRD44,246,257,174,225,236,121
KARS1,10302,10586,8772,4293,5188,9756
ADAT1,1423,1457,1320,867,1027,1389
PDIA5,1306,1513,874,1539,1878,1533
TBC1D22B,1225,1158,1238,770,1006,717
NDUFB4,4038,4480,3306,2987,3154,3070
SPEN,815,1148,1788,1673,1769,823
MYLK,363,499,1286,992,664,5967
ZC3H15,4328,4188,3480,2200,2332,4307
MAP2K4,3930,3676,3486,2429,2325,3581
PACC1,424,399,562,232,165,667
SNAP91,0,2,0,0,0,1
SLK,7175,7314,13654,7773,5819,8316
CYB5R4,2735,2514,2204,902,842,1472
COL17A1,11522,10551,14648,10913,16948,36031
GSTO2,341,442,297,457,624,650
SEC61A2,192,204,236,193,190,199
PRKCQ,73,88,74,102,150,96
TLE2,2297,2369,3431,1954,2374,559
ASB1,740,772,727,416,697,813
FAM107B,4541,5016,7178,2832,3571,3132
ME1,7825,7778,3288,2050,999,6315
TBC1D1,824,839,1139,217,391,1585
CDK13,1614,1588,2943,1805,1748,1527
MTHFD2,1328,1370,987,654,934,1605
SLC9A7,838,695,950,481,648,861
FOXJ2,1016,1115,1385,1147,1088,631
YBX1,8764,9038,5798,3440,4319,10103
PDE4A,816,963,418,782,934,547
PPP2R5A,2885,2872,2291,3124,3986,1708
CTNNA2,49,56,0,5,27,3
ELAVL1,6191,6172,4169,2541,3114,5205
TIE1,0,0,5,4,3,0
DIP2B,2287,2716,2451,1727,1595,1888
SMARCD1,989,1107,1083,690,744,1404
KDM4A,915,1077,655,676,955,817
NFYC,1927,2191,1978,1392,1346,1523
ZMYND12,49,74,22,120,235,25
SLC9A3,173,190,234,297,369,188
NGEF,71,84,114,134,131,46
ASPM,376,367,187,87,78,401
CD84,1,0,3,0,1,0
ELOVL1,8286,7785,6557,4717,4150,8171
SPI1,2,1,0,1,2,0
ZNRD1,743,774,719,527,635,703
MPPED2,2,0,2,2,0,0
CLDN18,130,114,41,66,79,58
ZBTB11,1634,1645,1267,1097,1386,1324
ATXN3,651,833,903,553,660,525
GOLGA5,3469,3666,3658,2690,3015,3668
FGFR2,1633,1514,3386,2239,2733,695
LRRC40,1160,1158,782,545,728,857
ISOC1,2039,2147,1150,1116,1187,1387
EML1,285,280,492,402,306,638
TRMT11,820,778,727,664,823,753
THUMPD1,2694,2770,2376,2124,2098,2126
MSANTD3,2682,2339,1399,683,859,2474
KIF26A,0,0,19,4,0,12
ATG2B,455,497,442,528,523,459
ARFGEF1,2604,2720,3475,2440,2664,2434
ACSM2B,0,0,0,0,0,0
ZFAT,584,549,565,347,360,446
MTFR1,1412,1388,1200,1039,964,1461
STAG3,43,76,103,92,104,24
FECH,2112,2152,1085,800,768,1726
MYO9A,694,654,880,1481,1893,653
DDX3Y,99,111,949,784,830,1391
PFKP,10273,10178,11247,6961,11353,8999
IDI1,13810,13654,6853,5405,5407,9856
SP100,6587,7049,8108,2977,3455,3592
KLF6,11120,11999,16491,4829,4298,22475
PLPP1,2033,1979,1091,797,1090,1469
NEO1,437,525,818,541,786,800
TRAM1,58957,56074,23739,15280,19320,18787
PHKA1,1273,1141,890,813,902,1629
TNFRSF1A,6946,7226,7386,4344,4784,6849
CACNB1,670,737,941,1383,1450,243
EVI5,1785,1835,1349,1156,1191,1377
STOML1,1452,1531,879,872,829,971
PKM,115574,115132,82479,58503,79640,117158
DHX29,3344,3209,2521,1728,1727,3488
DNTTIP2,6020,6053,5538,2819,3257,5216
METTL22,542,686,897,693,841,753
TP53BP1,2440,3214,2609,2752,2683,2265
TRO,44,76,261,980,926,630
RRP15,938,893,593,411,434,945
RHOA,30525,30699,22823,15599,17049,24792
DHX8,2363,2560,3311,1860,1670,2152
PMS2P4,52,51,62,66,132,40
PRKCZ,14389,13764,7666,3897,4496,4853
ZFY,8,12,327,22,56,338
IARS2,8177,8720,5680,4758,6115,8206
SYT1,16,9,43,13,6,87
NAV3,228,192,165,78,68,251
IDH3G,3508,3611,2995,1717,1892,3348
ROGDI,1862,2083,2485,1671,1597,1053
PDZD4,0,0,0,9,3,0
ATP2B3,0,0,3,7,25,0
ROCK1,3370,3399,2961,2661,3047,3058
CBFB,4181,3995,4396,2409,2672,3611
PDK3,1131,1265,635,1352,2046,464
HYAL2,5329,5335,3620,2910,3319,4207
HDAC4,283,236,426,539,584,427
RASSF1,1852,1804,1490,1571,2438,1463
FGFR3,1617,1759,14590,17559,17020,14679
IFI35,2395,2690,3762,617,680,551
HEATR6,1009,910,833,868,972,638
COASY,7010,7291,6622,4490,4853,4361
PLEKHH3,1493,1473,2899,2107,2134,2036
MEF2A,1517,1524,2417,1708,2118,1477
OTUD5,2487,2643,3905,2168,2824,1625
TFE3,3166,3112,2096,1502,1916,2724
TBC1D25,1126,1183,1103,719,943,849
ACSL4,5348,5399,3308,2915,3680,4800
INPP5A,1655,1579,1651,1236,1158,1908
GPKOW,1323,1327,893,803,746,1227
GRIPAP1,1787,2038,2859,1742,2058,1614
FTSJ1,3635,3789,2619,1301,1455,2830
PRR11,351,409,252,62,46,645
REEP1,25,21,1,53,52,11
ATP11A,4463,4715,3822,2849,3454,2288
POLR1A,765,843,630,482,685,984
LAPTM4A,16299,16510,16554,14717,17103,13541
TTC7A,3107,3142,2540,1636,1626,2172
IP6K2,3935,4034,5229,4184,4671,3152
STON1-GTF2A1L,0,1,0,9,29,16
SRBD1,923,1083,725,506,721,858
KIF2A,1600,1651,1679,1023,1357,1436
RASGRP2,0,0,1,2,14,1
PSME4,1429,1436,1385,647,788,1238
IFT80,1939,1915,1058,1375,1527,774
SIRT2,2500,2409,2134,2125,2260,2610
ERLEC1,3584,3512,3575,3647,4391,3573
PPP2R5B,1576,1362,2302,834,1011,1193
PYGM,1,3,10,14,5,0
PAGE1,0,0,0,0,0,0
PITX1,1555,1518,7018,4077,2552,5649
TRPC7,0,0,0,1,0,0
MAST4,809,1070,1894,2284,2714,1753
ADGRF5,26706,26290,10607,13075,16827,11866
SDK2,91,74,52,439,512,104
ADAM7,0,0,0,0,0,0
NUP133,2495,2611,1830,1659,2213,2227
NUCKS1,3015,3434,1828,3238,3645,2485
VPS35,13402,12795,9762,6748,7669,12118
DNAJA2,4803,4916,4966,3239,3354,4742
BCL3,2471,2569,4590,2476,3198,2330
KCNAB2,57,60,100,151,328,106
ABCC9,302,303,215,496,676,288
GAL,73,77,106,17,21,378
CLEC2D,115,142,280,299,321,49
FUNDC1,926,880,676,606,640,774
MAOB,127,90,101,18,36,116
RORA,244,174,799,1175,1159,171
DRD4,1,0,6,12,18,0
TGFBR3,224,215,190,489,691,346
PLA2G10,398,385,191,78,75,87
HES2,871,801,1065,900,1000,4656
ATP1B3,15304,14537,8711,6563,6633,14015
NEDD4,718,888,1072,444,478,1509
PIGB,1060,1240,576,473,664,974
MAPK6,3185,3431,5254,2730,2524,6793
GNB5,1401,1327,1071,940,1227,1229
RAB27A,4815,4582,2446,2283,2619,2210
HDHD5,1979,2070,1411,1720,1992,1902
UFD1,3354,3564,2806,1317,1351,3114
LRP6,1465,1639,1421,1579,1647,859
GUCY2C,1,7,4,6,1,0
SCT,0,0,0,0,0,0
PHRF1,3050,3368,3675,2097,2872,3846
ELP1,3642,3546,3045,2565,2919,3521
NUCB2,4332,4387,2594,5105,4852,2844
PFN2,2645,2465,2113,1899,2310,5925
PTPN3,3177,3082,5071,3346,2648,2117
SPTB,626,596,122,281,414,86
DAPP1,2162,2510,5451,1619,1280,2867
FGF10,0,0,0,9,10,0
SLC44A1,6128,6198,4623,5037,5302,4743
TMEM260,740,808,777,750,896,682
SMG6,838,742,1080,695,1035,828
EXOC5,4460,4406,3728,2682,2523,4306
CLTCL1,178,236,215,240,212,467
FGF22,1,17,10,24,8,6
FSTL3,10326,9636,4051,1392,1547,3982
DGCR2,9994,9670,8001,5987,7684,7112
RNF126,1961,1996,2525,1364,1350,2915
MNT,82,113,321,146,207,151
ZXDC,1384,1295,1580,1351,1664,1127
JMJD6,1661,1653,1646,1050,1672,1304
POLB,1674,1440,1328,748,747,1183
ST6GALNAC1,2794,2849,10017,3397,3981,7978
WIPI1,1673,1855,2754,1417,1180,2287
FRMPD1,1,0,8,43,6,2
GBA2,4226,4085,4481,2495,2989,2711
NDST1,2592,2410,2013,1747,1670,3619
ASNS,1357,1508,938,596,728,995
AP3M2,789,831,693,979,1230,807
CNGB1,18,29,25,10,12,9
ST6GALNAC2,1382,1348,1444,1426,2065,2086
CHAT,0,0,0,1,15,0
PABPC1,14782,16369,24708,20570,23327,19355
TESK2,68,123,338,255,220,70
CFAP20,1641,1849,1269,937,1203,1341
CSNK2A2,2108,1695,1557,878,1784,1687
PTPN21,622,780,498,388,399,468
EIF2B3,1696,1715,1226,778,784,2329
CAMK2A,0,3,1,1,1,0
TCOF1,2515,2595,1965,1280,1624,3416
CDC42,10838,10953,7418,4967,5048,8273
OSBPL3,2916,2933,4256,1447,1499,3185
EPHA8,0,0,0,5,24,7
SLC12A3,0,0,0,0,0,0
RAD18,971,936,809,435,561,952
ATP2B1,1222,1268,1723,952,1007,2397
TRPM5,3,0,2,0,1,0
NCK2,2102,2084,3634,1867,1597,2010
MAP4K4,6737,6865,6981,3092,2626,8687
MGAT4A,819,902,686,344,404,318
RPL31,6680,7283,7224,10250,12131,7561
WDR1,29247,28443,19332,8108,10096,22484
SNX13,2413,2759,2481,2304,2622,2375
MS4A12,0,0,0,0,0,0
ARHGAP10,1335,1191,1153,905,1154,908
RPS6KA2,12018,12715,7195,8998,11299,7890
ING3,961,940,884,542,652,524
VASH1,56,25,59,125,99,86
LMCD1,771,805,144,145,128,284
BUD23,4264,4423,3131,2183,2956,3171
SEL1L,4046,4424,4781,3367,4511,4197
TRIP13,1167,1258,599,178,215,1758
ATP6AP1,9505,9389,8932,8294,8093,10260
TCF3,3291,3642,3602,1495,1870,3769
TRIB2,852,1033,3950,2378,2497,1368
DAZAP1,2153,2393,1694,883,919,1819
MBD3,2979,2792,2156,1362,1425,1945
PRLH,0,0,0,0,0,0
HLTF,1476,1366,1057,1514,1767,1384
FAM50A,4605,4810,4267,2749,2826,3630
FAM3A,1553,1742,1506,1398,1619,1437
CPSF1,4153,3952,3701,3140,3791,3289
MYO3B,32,40,8,29,70,160
CYBRD1,1700,1331,1537,2991,3893,2433
CDH19,0,2,0,3,0,2
PDCD2,2722,2799,2696,1526,1702,3008
SLC6A15,168,160,1159,231,266,3636
RDH11,9780,9366,5668,4322,4809,7586
PRKACA,746,795,678,528,527,751
ADGRL1,210,218,397,372,497,309
SPP2,0,0,0,2,0,0
ACTN1,20537,19906,12765,5821,7439,36296
ZFYVE26,616,669,946,429,593,235
RPS6KA6,253,243,70,126,308,160
EPN2,1507,1565,2439,1842,1866,1581
PTPN18,2174,2347,2662,1721,2204,1471
LIMS2,31,45,24,24,13,14
ASIC4,4,1,3,3,3,0
SPEG,11,25,69,172,111,253
LNX1,418,604,1218,1410,690,424
ALDH3A2,9375,9784,5449,4930,4472,5588
TFRC,7816,7609,5186,4826,7200,6839
SREBF1,8123,8369,8641,12422,13179,13286
TRPC5,0,0,0,10,4,0
AFF4,2190,2390,2771,1856,2294,2096
UBE2D1,2093,2039,2913,1169,1144,1238
MPP5,3195,3307,2555,1373,1804,1712
RHOBTB1,624,604,370,532,982,730
SMC1A,3326,3874,2384,1742,1910,3298
HSD17B10,2421,2660,1527,925,744,2583
MARK2,3330,3121,4293,2623,2796,3265
HMMR,647,708,449,39,115,755
CHFR,2542,2406,2874,1442,1309,2411
TRHDE,34,26,46,28,18,288
P4HA2,6175,6011,3885,4996,6349,4983
FCGR2B,0,4,8,0,0,0
NFATC3,2307,2604,1684,1567,2095,1481
TRNT1,1605,1896,1418,922,985,1165
ACADVL,41303,43914,78474,29004,29867,34510
STK10,1653,1476,2053,397,427,2629
FBXW11,3336,3466,4706,3299,3736,3765
ACAP1,31,24,89,225,262,8
CRMP1,43,46,54,134,176,310
EVC,351,231,297,450,653,463
DERL2,3100,3055,3236,2063,2575,2126
SIDT1,713,898,1308,799,919,1282
NDE1,855,931,1671,867,883,1856
MRVI1,72,32,222,467,396,757
TMEM38A,352,338,283,242,298,349
AP1M1,4511,4424,2812,1899,2288,4352
PVR,4336,3850,2869,1399,1439,4039
XRCC1,1114,1196,1225,748,913,1002
SCARB1,2060,2212,2223,1133,1690,4667
CYP2W1,11,10,29,34,44,5
MCM2,2611,3111,1403,489,576,1897
MOV10L1,18,2,8,24,7,10
PANX2,13,23,43,13,14,22
SELENOO,2001,1851,1811,1601,1802,2308
TP63,1132,1103,829,2110,1790,4105
ALPK1,1146,1386,2354,2121,2825,707
LLGL2,16744,16570,13719,7543,8455,7208
PDE8A,1625,1506,1847,1177,1401,1507
CLCN4,216,318,122,203,89,148
NLE1,421,537,287,191,271,508
SDHA,9108,9095,8463,5910,6720,10872
SMARCE1,5623,5825,5729,3920,4749,5041
FNDC8,0,4,4,0,6,2
GSDMB,94,120,498,633,652,47
KDM5A,1788,2070,2985,2895,3279,1754
ADAM11,0,0,5,10,23,11
PPP2R3A,1164,1268,1199,1218,1339,952
FERMT2,1657,1629,1021,851,1323,914
ABCB11,10,48,53,213,185,13
DHRS9,11949,11616,33988,7878,4899,19058
CD5L,0,0,0,0,0,0
PTGS2,3384,3139,2728,400,908,2572
IGF2BP2,1802,2062,4839,1639,2202,3252
MAP3K13,2362,2695,2599,2088,2611,1294
ST6GAL1,2647,2701,3868,2452,3430,1136
TBX21,3,0,1,0,0,0
VDAC1P1,7,13,10,7,3,4
FRY,302,355,870,1517,2433,289
PICALM,4232,4447,6300,2520,2735,3451
NSF,7283,6551,6221,3841,4377,6291
GLI2,11,19,23,11,24,92
CLASP1,1140,1143,1676,1015,1084,1293
MRPS34,4003,3969,2790,1912,2159,3571
NOTCH3,2463,3019,5763,7584,7628,5647
CLNS1A,2110,1956,1756,1420,1584,1866
PPP2R2C,18,12,370,166,48,338
TEAD2,1079,1110,699,604,637,639
EED,1024,1102,1276,690,693,790
CDHR2,0,8,1,6,7,1
SNCB,0,0,4,6,9,2
TSG101,5152,5359,5013,3029,2862,4283
NCBP3,1163,1235,1189,1266,972,878
ATP2A3,93,138,342,76,181,122
CA12,608,828,2827,3965,4550,9804
MGLL,14161,14207,4312,6972,4231,7608
NTN4,9198,9332,6496,6959,8664,5783
BCS1L,1478,1609,1602,1002,1072,1823
NUAK1,179,156,180,114,193,63
DPP8,2014,2060,2038,1737,2089,1975
SLC24A1,139,110,119,284,365,108
ZNF532,1208,1127,1068,854,1178,1100
SCARF1,661,501,322,1024,1303,267
LMAN1,7203,7733,7324,8559,14013,6857
HACD3,6355,6343,4024,4305,5295,4766
IPCEF1,82,66,178,715,1148,43
ZZEF1,646,702,900,801,733,538
NOX3,0,0,0,0,0,0
ENO1,129465,132457,79121,69693,94307,116882
SLC12A1,0,0,0,0,0,0
MYDGF,7588,7537,5789,4342,5329,6427
ANO8,47,68,232,105,72,38
TUBE1,557,599,415,834,1062,563
ARHGEF10L,2185,2198,6896,3197,2589,2628
TXK,57,50,20,8,12,11
WSCD2,0,0,0,0,0,0
KCNQ2,0,0,0,0,0,0
TACR2,14,4,9,8,3,21
ACTR6,1548,1524,1444,1013,1108,1118
TIPIN,557,515,377,141,218,315
SRI,8495,8929,6311,4538,5286,5014
EIF4G3,1975,2334,2539,2118,2156,3415
NUP37,1420,1554,905,762,625,1495
SEMA3A,1020,1101,1723,866,1144,2387
GTSE1,497,548,252,80,58,353
SEMA3C,4829,4269,4346,1868,2359,2893
TTC38,1655,1695,1431,855,1055,1088
ACAT1,3867,3679,1659,1624,2137,2961
GRAMD4,1766,1723,1668,1742,2085,1628
CELSR1,1472,1640,2693,2448,3149,1876
WNT8B,2,4,8,3,0,0
ZNF638,3817,3586,3838,3700,4201,3040
SLC25A40,586,600,410,521,588,338
TIMM21,1671,1956,1116,1060,997,1652
ADD2,15,9,0,5,16,0
FGF4,0,0,0,0,0,0
RASAL2,995,1325,1544,909,680,894
VPS9D1,449,539,862,429,378,496
ZNF37A,648,758,660,648,926,648
MARK3,5707,5698,6209,3921,3885,6053
SLC25A3,14963,15062,10861,5886,5760,14070
FNDC3B,6719,7587,5799,3038,4311,4873
FOSL2,6726,6523,11491,5681,6998,4921
CACNG5,0,0,0,0,0,0
CACNG4,6,12,3,7,5,0
FRYL,785,713,1414,1003,866,752
TMEM131,2082,2113,1901,1941,2315,2887
FSCN1,2549,2273,2845,2401,3015,15792
ACTB,619181,600315,339667,138795,145959,422306
MOCOS,717,742,534,236,206,1162
PLD1,957,1100,1245,1218,924,989
